Movies
      195.      The Truman Show(1998)
      196.      Persona(1966)
      197.      Ben-Hur(1959)
      198.      Le salaire de la peur(1953)
      199.      Salinui chueok(2003)
      200.      Rush(2013)
      201.      12 Years a Slave(2013)
      202.      Million Dollar Baby(2004)
      203.      Mad Max: Fury Road(2015)
      204.      Les quatre cents coups(1959)
      205.      Before Sunrise(1995)
      206.      Spotlight(2015)
      207.      Logan(2017)
      208.      Amores perros(2000)
      209.      Hachi: A Dog's Tale(2009)
      210.      Incredibles 2(2018)
      211.      Prisoners(2013)
      212.      The Princess Bride(1987)
      213.      Butch Cassidy and the Sundance Kid(1969)
      214.      Kaze no tani no Naushika(1984)
      215.      Catch Me If You Can(2002)
      216.      Blade Runner 2049(2017)
      217.      Harry Potter and the Deathly Hallows: Part 2(2011)
      218.      Rocky(1976)
      219.      The Maltese Falcon(1941)
      220.      Barry Lyndon(1975)
      221.      The Grapes of Wrath(1940)
      222.      La La Land(2016)
"      223.      Monsters, Inc.(2001)"
      224.      Donnie Darko(2001)
      225.      Le notti di Cabiria(1957)
      226.      Les diaboliques(1955)
      227.      A Wednesday(2008)
      228.      Gandhi(1982)
      229.      The Terminator(1984)
      230.      La haine(1995)
      231.      Groundhog Day(1993)
      232.      Dead Poets Society(1989)
      233.      Paper Moon(1973)
      234.      The Wizard of Oz(1939)
      235.      Touch of Evil(1958)
      236.      Jaws(1975)
      237.      Faa yeung nin wa(2000)
      238.      The Help(2011)
      239.      Gangs of Wasseypur(2012)
      240.      The Bourne Ultimatum(2007)
      241.      8½(1963)
      242.      Before Sunset(2004)
      243.      Annie Hall(1977)
      244.      Guardians of the Galaxy(2014)
"      245.      Paris, Texas(1984)"
      246.      Mandariinid(2013)
      247.      PK(2014)
      248.      Pirates of the Caribbean: The Curse of the Black Pearl(2003)
      249.      Ah-ga-ssi(2016)
      250.      Lagaan: Once Upon a Time in India(2001)
